world,district,ward_number,plot_number,house_size,lotto_entries
Sargatanas,Mist,28,31,2,60
Zalera,Empyreum,20,1,1,8
Cactuar,The Lavender Beds,7,46,2,111
Goblin,Shirogane,3,47,1,1
Siren,The Goblet,7,37,1,4
Excalibur,Empyreum,28,39,1,3
Goblin,The Goblet,21,5,3,43
Coeurl,Mist,30,60,2,78
Leviathan,The Goblet,12,11,2,29
Gilgamesh,Empyreum,18,32,2,48
Behemoth,Mist,26,6,2,40
Hyperion,The Goblet,20,42,2,14
Balmung,The Goblet,29,18,1,19
Siren,Empyreum,22,7,2,61
Balmung,Mist,23,23,1,31
Diabolos,The Goblet,4,8,2,8
Lamia,Mist,18,13,1,3
Coeurl,The Goblet,21,14,1,14
Leviathan,Shirogane,5,34,1,1
Goblin,The Goblet,20,24,1,1
Faerie,The Goblet,23,40,1,4
Leviathan,The Goblet,28,2,1,2
Goblin,The Goblet,17,41,2,36
Exodus,The Lavender Beds,12,43,1,4
Sargatanas,Shirogane,14,15,2,71
Behemoth,Shirogane,3,53,1,1
Zalera,Shirogane,23,6,1,6
Excalibur,Empyreum,25,46,1,0
Sargatanas,Empyreum,5,18,2,27
Leviathan,The Lavender Beds,23,49,1,5
Faerie,The Lavender Beds,8,18,1,4
Lamia,Shirogane,28,19,2,78
Zalera,The Lavender Beds,30,50,1,8
Malboro,Shirogane,26,1,2,80
Hyperion,The Lavender Beds,5,16,2,45
Leviathan,The Goblet,30,55,2,36
Midgardsormr,Shirogane,1,42,1,0
Coeurl,The Lavender Beds,20,36,3,186
Exodus,Mist,4,14,2,27
Adamantoise,The Goblet,30,11,2,20
Sargatanas,The Lavender Beds,10,4,1,5
Diabolos,The Goblet,25,38,2,6
Faerie,The Goblet,24,9,1,3
Excalibur,Shirogane,11,46,3,156
Gilgamesh,Shirogane,27,5,1,5
Sargatanas,Empyreum,21,34,1,3
Goblin,The Lavender Beds,4,12,1,1
Excalibur,The Lavender Beds,20,58,3,174
Goblin,Shirogane,8,57,1,4
Cactuar,The Goblet,18,11,2,29
Balmung,The Lavender Beds,21,60,2,146
Balmung,The Goblet,12,50,1,26
Malboro,The Goblet,4,5,3,97
Adamantoise,Mist,8,30,2,58
Ultros,Shirogane,28,17,1,12
Malboro,Mist,9,34,2,59
Hyperion,Shirogane,13,31,2,71
Malboro,The Goblet,21,54,1,1
Gilgamesh,The Lavender Beds,13,50,1,2
Excalibur,The Goblet,24,26,1,2
Faerie,The Lavender Beds,24,45,1,11
Brynhildr,The Lavender Beds,5,60,2,34
Cactuar,Shirogane,17,10,1,6
Mateus,The Lavender Beds,9,20,1,12
Leviathan,The Goblet,20,26,1,2
Mateus,The Goblet,28,13,3,58
Diabolos,Mist,7,35,3,162
Adamantoise,The Lavender Beds,18,11,2,117
Sargatanas,The Lavender Beds,20,19,1,6
Mateus,Mist,26,42,1,10
Midgardsormr,The Lavender Beds,2,35,2,30
Coeurl,Mist,26,27,1,8
Exodus,Mist,2,29,2,28
Malboro,The Lavender Beds,29,60,2,38
Coeurl,The Goblet,14,33,1,6
Adamantoise,Mist,23,1,2,28
Zalera,Shirogane,16,50,1,7
Mateus,Empyreum,9,39,1,10
Goblin,Mist,8,31,2,38
Brynhildr,The Lavender Beds,24,43,1,6
Diabolos,Shirogane,2,25,1,1
Cactuar,The Goblet,3,55,2,18
Faerie,The Goblet,7,16,1,4
Cactuar,The Goblet,18,38,2,33
Hyperion,Shirogane,7,4,1,3
Siren,Shirogane,22,22,1,16
Goblin,Shirogane,13,42,1,4
Siren,The Goblet,9,55,2,29
Mateus,Shirogane,22,38,2,104
Goblin,The Lavender Beds,11,35,2,44
Midgardsormr,The Lavender Beds,9,27,2,82
Gilgamesh,Shirogane,26,21,1,15
Adamantoise,Mist,22,1,2,26
Sargatanas,Shirogane,28,43,2,57
Goblin,Mist,20,35,3,116
Hyperion,The Goblet,7,8,2,15
Hyperion,Mist,8,19,1,40
Goblin,Empyreum,12,18,2,36
Excalibur,The Lavender Beds,10,48,1,4
Diabolos,The Goblet,12,43,3,82
Zalera,The Goblet,7,25,2,34
Faerie,The Goblet,22,14,1,5
Zalera,Mist,21,51,1,22
Coeurl,Mist,1,3,1,1
Jenova,Mist,23,46,1,6
Excalibur,The Lavender Beds,8,59,1,15
Hyperion,The Lavender Beds,16,46,2,89
Balmung,Mist,27,3,1,26
Faerie,The Lavender Beds,16,6,3,199
Midgardsormr,Mist,24,37,2,49
Zalera,Shirogane,16,2,1,4
Midgardsormr,Mist,21,4,2,85
Cactuar,Shirogane,4,26,1,1
Hyperion,The Lavender Beds,15,42,1,1
Mateus,The Lavender Beds,16,50,1,12
Adamantoise,The Goblet,29,7,1,2
Excalibur,Empyreum,19,48,2,46
Balmung,The Goblet,9,8,2,118
Brynhildr,Mist,30,46,1,5
Goblin,The Lavender Beds,21,24,1,5
Exodus,The Goblet,26,13,3,65
Exodus,The Goblet,7,26,1,1
Excalibur,Mist,22,2,3,92
Diabolos,Mist,1,60,2,28
Diabolos,Mist,4,44,2,15
Siren,Mist,26,36,2,115
Gilgamesh,Empyreum,22,14,1,3
Malboro,Mist,3,49,1,17
Goblin,The Lavender Beds,16,58,3,77
Famfrit,Shirogane,11,49,2,82
Goblin,The Lavender Beds,29,9,1,22
Leviathan,Shirogane,22,13,2,65
Faerie,The Lavender Beds,29,51,2,37
Zalera,Mist,29,30,2,71
Mateus,The Goblet,23,35,3,47
Mateus,Mist,29,4,2,55
Brynhildr,Empyreum,8,48,2,52
Cactuar,Shirogane,16,14,1,5
Mateus,The Lavender Beds,23,33,3,74
Midgardsormr,Shirogane,1,39,1,1
Sargatanas,Mist,22,7,2,42
Adamantoise,The Goblet,4,6,2,14
Faerie,Shirogane,14,23,1,10
Mateus,Shirogane,1,19,2,69
Lamia,The Goblet,9,20,1,2
Goblin,The Lavender Beds,14,22,1,3
Mateus,Empyreum,26,24,1,17
Diabolos,Shirogane,24,15,2,45
Sargatanas,Mist,6,33,1,1
Mateus,Mist,29,11,1,15
Coeurl,The Lavender Beds,3,4,1,1
Diabolos,The Lavender Beds,21,22,1,9
Balmung,The Goblet,25,12,2,46
Brynhildr,The Goblet,22,36,2,46
Mateus,Mist,16,44,2,54
Siren,Empyreum,4,41,1,3
Ultros,The Lavender Beds,3,51,2,24
Exodus,Shirogane,30,11,1,5
Brynhildr,Shirogane,3,31,2,37
Leviathan,Shirogane,14,43,2,59
Mateus,The Lavender Beds,15,1,2,77
Midgardsormr,The Goblet,17,8,2,40
Midgardsormr,Shirogane,8,25,1,4
Faerie,Shirogane,8,54,2,57
Cactuar,The Goblet,27,30,3,166
Mateus,Mist,7,34,2,55
Behemoth,Shirogane,21,43,2,35
Behemoth,Empyreum,14,22,3,136
Sargatanas,The Lavender Beds,23,21,2,73
Mateus,Shirogane,26,32,1,13
Faerie,The Goblet,15,7,1,8
Mateus,The Goblet,18,5,3,55
Midgardsormr,The Goblet,10,7,1,5
Jenova,The Goblet,19,30,3,80
Faerie,The Lavender Beds,5,7,1,0
Diabolos,Empyreum,3,28,1,0
Diabolos,Mist,25,57,1,0
Diabolos,Mist,25,54,1,0
Diabolos,Mist,25,46,1,0
Diabolos,Mist,25,39,1,0
Diabolos,Mist,25,43,1,1
Ultros,The Lavender Beds,29,37,1,9
Ultros,The Lavender Beds,20,54,1,6
Ultros,The Lavender Beds,14,52,1,6
Excalibur,Mist,25,9,1,1
Exodus,The Lavender Beds,1,7,1,0
Exodus,The Lavender Beds,1,24,1,0
Goblin,Mist,30,46,1,3
Adamantoise,Shirogane,1,34,1,0
Excalibur,The Lavender Beds,5,24,1,1
Jenova,The Lavender Beds,3,42,1,0
Gilgamesh,Shirogane,29,2,1,5
Sargatanas,The Lavender Beds,6,44,1,0
Siren,Shirogane,25,55,1,1
Jenova,The Lavender Beds,6,56,1,0
Famfrit,Shirogane,25,9,1,0
Ultros,Mist,11,3,1,3
Gilgamesh,Mist,14,56,1,2
Cactuar,Shirogane,3,48,1,0
Jenova,The Goblet,25,57,1,0
Behemoth,The Goblet,15,37,1,1
Ultros,Mist,11,25,1,3
Behemoth,Mist,22,13,1,0
Goblin,The Lavender Beds,4,24,1,1
Jenova,The Goblet,26,2,1,4
Lamia,Shirogane,3,23,1,0
Lamia,Shirogane,3,25,1,0
Faerie,Shirogane,3,2,1,0
Goblin,Shirogane,5,47,1,1
Coeurl,Mist,25,9,1,1
Goblin,Shirogane,5,25,1,0
Jenova,The Lavender Beds,16,56,1,6
Gilgamesh,Mist,25,27,1,0
Gilgamesh,Mist,25,16,1,0
Diabolos,Mist,2,10,1,0
Leviathan,Empyreum,20,55,1,4
Coeurl,Shirogane,24,21,1,6
Leviathan,Empyreum,21,28,1,3
Leviathan,Empyreum,25,23,1,0
Gilgamesh,The Goblet,1,33,1,1
Gilgamesh,Mist,25,12,1,0
Faerie,The Goblet,2,22,1,2
Cactuar,Shirogane,4,26,1,1
Zalera,Shirogane,20,44,1,6
Lamia,The Goblet,21,48,1,1
Lamia,The Goblet,16,50,1,5
Mateus,Empyreum,29,29,1,12
Adamantoise,Shirogane,3,55,1,1
Goblin,The Goblet,17,23,1,0
Gilgamesh,Shirogane,29,18,1,6
Gilgamesh,Shirogane,15,27,1,5
Gilgamesh,Mist,23,48,1,12
Gilgamesh,Mist,22,47,1,5
Zalera,The Lavender Beds,6,50,1,1
Zalera,The Lavender Beds,6,42,1,0
Zalera,The Lavender Beds,5,54,1,1
Diabolos,The Goblet,1,26,1,1
Coeurl,The Goblet,3,2,1,1
Coeurl,The Goblet,3,1,1,0
Diabolos,The Lavender Beds,7,53,1,2
Coeurl,Shirogane,25,36,1,0
Ultros,Shirogane,28,14,1,9
Ultros,Shirogane,12,2,1,3
Gilgamesh,The Goblet,6,37,1,0
Ultros,Shirogane,28,17,1,11
Mateus,The Goblet,5,3,1,0
Mateus,The Goblet,4,53,1,1
Mateus,The Goblet,4,26,1,1
Midgardsormr,Shirogane,6,5,1,1
Midgardsormr,Shirogane,2,56,1,0
Famfrit,Shirogane,9,55,1,3
Hyperion,The Goblet,24,23,1,2
Excalibur,The Goblet,13,57,1,1
Lamia,The Goblet,20,18,1,1
Lamia,The Goblet,26,45,1,1
Diabolos,Mist,1,41,1,0
Coeurl,Mist,1,3,1,1
Ultros,Mist,23,43,1,2
Faerie,The Lavender Beds,4,23,1,0
Gilgamesh,The Lavender Beds,13,50,1,2
Jenova,The Goblet,28,58,1,4
Brynhildr,The Goblet,19,20,1,4
Jenova,The Goblet,8,32,1,4
Jenova,Mist,18,57,1,4
Sargatanas,Mist,6,33,1,1
Mateus,The Goblet,25,33,1,3
Jenova,Mist,25,46,1,1
Zalera,The Goblet,5,48,1,1
Famfrit,Shirogane,13,12,1,6
Gilgamesh,The Goblet,2,45,1,0
Brynhildr,The Goblet,22,9,1,3
Leviathan,Shirogane,5,34,1,1
Behemoth,Mist,22,19,1,16
Brynhildr,Mist,3,11,1,1
Ultros,Empyreum,8,6,1,3
Diabolos,The Lavender Beds,3,37,1,0
Diabolos,The Lavender Beds,3,54,1,0
Excalibur,The Lavender Beds,24,2,1,3
Excalibur,The Lavender Beds,21,9,1,12
Diabolos,Empyreum,5,44,1,1
Excalibur,Shirogane,6,55,1,0
Coeurl,The Lavender Beds,25,18,1,0
Goblin,The Lavender Beds,21,24,1,5
Goblin,Mist,1,58,1,0
Mateus,Empyreum,13,13,1,10
Leviathan,The Lavender Beds,24,54,1,7
Adamantoise,The Goblet,2,15,1,1
Adamantoise,The Goblet,2,52,1,0
Diabolos,Empyreum,1,39,1,0
Balmung,The Goblet,24,3,1,13
Lamia,The Lavender Beds,19,26,1,3
Goblin,Shirogane,3,47,1,1
Exodus,Shirogane,17,50,1,2
Midgardsormr,Shirogane,18,21,1,9
Lamia,Shirogane,3,9,1,1
Lamia,Empyreum,13,13,1,1
Lamia,The Goblet,11,37,1,2
Ultros,The Goblet,10,27,1,2
Midgardsormr,The Goblet,10,56,1,1
Faerie,The Goblet,3,42,2,6
Famfrit,The Lavender Beds,3,5,2,27
Goblin,The Lavender Beds,6,45,1,0
Siren,Shirogane,14,44,1,6
Siren,The Lavender Beds,10,15,1,7
Ultros,Shirogane,7,32,1,3
Cactuar,The Goblet,3,55,2,16
Balmung,The Goblet,8,31,1,15
Faerie,The Goblet,23,58,1,1
Goblin,The Lavender Beds,29,12,1,2
Faerie,The Goblet,7,16,1,3
Faerie,The Lavender Beds,9,32,1,6
Faerie,The Lavender Beds,8,53,1,4
Coeurl,Shirogane,25,55,1,0
Coeurl,Shirogane,25,56,1,0
Faerie,Mist,19,54,1,3
Famfrit,Mist,1,11,1,0
Ultros,Empyreum,15,10,1,2
Excalibur,Empyreum,3,38,2,16
Hyperion,Shirogane,5,6,1,3
Faerie,The Lavender Beds,22,37,1,7
Coeurl,Shirogane,20,26,1,8
Coeurl,Empyreum,7,16,1,5
Coeurl,Empyreum,18,43,1,5
Goblin,Shirogane,8,57,1,4
Goblin,Shirogane,13,35,1,2
Coeurl,The Goblet,28,1,1,5
Gilgamesh,The Goblet,21,9,1,2
Coeurl,The Lavender Beds,25,49,1,0
Coeurl,The Lavender Beds,3,4,1,1
Coeurl,Mist,5,28,1,1
Faerie,Shirogane,14,23,1,10
Lamia,Mist,17,59,2,49
Faerie,Empyreum,24,37,2,33
Faerie,Empyreum,18,21,2,25
Excalibur,The Lavender Beds,22,53,1,4
Exodus,Shirogane,18,21,1,4
Diabolos,The Lavender Beds,12,55,1,2
Diabolos,The Lavender Beds,11,44,1,4
Midgardsormr,Shirogane,8,25,1,4
Midgardsormr,Shirogane,1,39,1,1
Adamantoise,Empyreum,1,14,1,0
Gilgamesh,The Lavender Beds,21,37,1,4
Gilgamesh,The Lavender Beds,21,38,1,5
Excalibur,The Lavender Beds,10,48,1,3
Midgardsormr,The Goblet,29,56,1,2
Brynhildr,Empyreum,6,36,1,1
Brynhildr,Empyreum,5,54,1,0
Brynhildr,Empyreum,4,58,1,0
Brynhildr,Empyreum,4,50,1,0
Brynhildr,Empyreum,4,40,1,0
Brynhildr,Empyreum,4,34,1,1
Coeurl,Mist,26,17,1,15
Brynhildr,Shirogane,25,36,1,0
Brynhildr,Shirogane,24,52,1,7
Brynhildr,Shirogane,18,23,1,6
Sargatanas,The Lavender Beds,1,54,1,1
Brynhildr,Shirogane,17,33,1,6
Brynhildr,Shirogane,15,3,1,9
Brynhildr,Shirogane,14,44,1,5
Brynhildr,Shirogane,12,17,1,9
Brynhildr,Shirogane,6,9,1,1
Gilgamesh,The Lavender Beds,21,44,1,2
Brynhildr,Shirogane,4,55,1,0
Gilgamesh,The Lavender Beds,21,40,1,5
Gilgamesh,The Lavender Beds,21,39,1,10
Brynhildr,Shirogane,2,4,1,0
Diabolos,Shirogane,18,44,1,4
Mateus,Mist,26,42,1,9
Mateus,Mist,16,56,1,10
Famfrit,Shirogane,11,49,2,82
Brynhildr,The Goblet,25,29,1,0
Brynhildr,The Goblet,25,23,1,1
Brynhildr,The Goblet,25,17,1,1
Goblin,Empyreum,12,18,2,36
Goblin,Mist,8,31,2,37
Famfrit,Empyreum,9,14,1,2
Brynhildr,The Goblet,6,58,1,0
Brynhildr,The Goblet,6,56,1,1
Brynhildr,The Goblet,6,51,1,0
Zalera,Shirogane,25,59,1,2
Brynhildr,The Goblet,5,48,1,1
Midgardsormr,The Lavender Beds,30,10,1,10
Brynhildr,The Goblet,4,33,1,0
Leviathan,The Goblet,20,26,1,2
Brynhildr,The Goblet,3,59,1,0
Brynhildr,The Goblet,3,57,1,0
Brynhildr,The Goblet,3,33,1,1
Leviathan,The Lavender Beds,4,53,1,0
Brynhildr,The Goblet,3,16,1,2
Brynhildr,The Goblet,3,10,1,1
Brynhildr,The Goblet,3,9,1,1
Brynhildr,The Goblet,2,31,1,0
Brynhildr,The Goblet,1,39,1,1
Brynhildr,Mist,25,54,1,1
Brynhildr,Mist,6,43,1,0
Brynhildr,Mist,6,25,1,0
Goblin,Empyreum,19,7,2,32
Brynhildr,Mist,6,16,1,0
Brynhildr,Mist,5,25,1,0
Brynhildr,Mist,5,16,1,1
Brynhildr,Mist,4,58,1,0
Midgardsormr,Mist,19,27,1,9
Brynhildr,Mist,4,57,1,0
Brynhildr,Mist,4,40,1,0
Brynhildr,Mist,4,38,1,0
Siren,Empyreum,4,41,1,3
Gilgamesh,Shirogane,23,45,2,33
Mateus,The Goblet,24,58,1,11
Cactuar,Shirogane,16,14,1,5
Brynhildr,Shirogane,16,14,1,8
Mateus,The Lavender Beds,11,52,1,11
Famfrit,Empyreum,1,26,2,10
Diabolos,The Lavender Beds,15,8,1,3
Ultros,Mist,1,48,1,1
Ultros,Mist,4,23,1,4
Faerie,Shirogane,2,49,2,42
Faerie,Shirogane,20,23,1,22
Coeurl,Mist,25,58,1,4
Balmung,Empyreum,20,54,1,26
Zalera,Empyreum,20,1,1,8
Balmung,Empyreum,10,9,1,18
Zalera,Empyreum,29,44,1,4
Balmung,Empyreum,8,39,1,16
Zalera,Empyreum,18,36,1,3
Faerie,The Goblet,3,26,1,0
Hyperion,Shirogane,18,35,1,3
Mateus,Empyreum,8,28,1,12
Excalibur,Shirogane,26,34,1,12
Jenova,Shirogane,27,29,1,18
Hyperion,Shirogane,7,4,1,2
Zalera,The Lavender Beds,26,23,1,4
Zalera,The Lavender Beds,22,19,1,6
Malboro,Empyreum,6,29,1,0
Zalera,The Lavender Beds,10,22,1,9
Behemoth,Mist,21,29,2,19
Zalera,The Lavender Beds,7,25,1,6
Malboro,Empyreum,4,59,1,0
Ultros,Shirogane,11,2,1,4
Adamantoise,Mist,22,1,2,26
Malboro,Empyreum,3,10,1,0
Malboro,Empyreum,2,57,1,1
Malboro,Empyreum,2,49,1,0
Malboro,Empyreum,2,43,1,0
Gilgamesh,Shirogane,15,17,1,8
Malboro,Empyreum,2,29,1,0
Balmung,The Lavender Beds,27,24,1,30
Mateus,Shirogane,16,56,1,13
Mateus,Shirogane,11,10,1,15
Zalera,The Goblet,30,22,1,2
Goblin,The Lavender Beds,29,9,1,22
Malboro,Shirogane,6,56,1,0
Zalera,The Goblet,28,26,1,1
Exodus,Shirogane,30,11,1,5
Malboro,Shirogane,5,2,1,1
Malboro,Shirogane,4,50,1,0
Malboro,Shirogane,4,40,1,1
Malboro,Shirogane,3,39,1,0
Zalera,The Goblet,20,51,1,1
Malboro,Shirogane,3,9,1,0
Ultros,Shirogane,8,14,1,4
Hyperion,Mist,2,43,1,1
Malboro,The Lavender Beds,6,25,1,0
Malboro,The Lavender Beds,6,23,1,0
Mateus,The Lavender Beds,25,42,1,0
Zalera,The Goblet,7,25,2,34
Brynhildr,Empyreum,12,48,2,56
Brynhildr,Empyreum,8,48,2,52
Exodus,The Lavender Beds,8,26,1,1
Cactuar,Empyreum,1,49,1,0
Faerie,The Goblet,15,7,1,8
Zalera,The Lavender Beds,24,26,1,4
Mateus,Shirogane,26,32,1,13
Adamantoise,Empyreum,24,37,2,22
Adamantoise,The Lavender Beds,7,30,2,30
Gilgamesh,Shirogane,24,49,2,54
Mateus,Shirogane,29,6,1,24
Midgardsormr,The Lavender Beds,2,35,2,30
Midgardsormr,The Lavender Beds,5,1,2,21
Adamantoise,Empyreum,19,44,1,2
Sargatanas,Mist,26,37,2,39
Excalibur,The Lavender Beds,12,31,2,72
Zalera,The Goblet,23,55,2,29
Zalera,The Goblet,18,46,1,2
Mateus,Empyreum,26,24,1,17
Zalera,Shirogane,24,56,1,3
Sargatanas,Shirogane,28,43,2,57
Zalera,Shirogane,22,26,1,4
Zalera,Shirogane,21,9,1,4
Zalera,Shirogane,21,11,1,3
Balmung,The Goblet,9,8,2,118
Zalera,Shirogane,16,2,1,4
Sargatanas,The Lavender Beds,23,21,2,73
Sargatanas,Mist,22,7,2,39
Excalibur,Shirogane,11,46,3,156
Gilgamesh,The Lavender Beds,4,35,2,31
Mateus,The Lavender Beds,24,54,1,12
Gilgamesh,Mist,3,14,2,18
Mateus,The Lavender Beds,20,56,1,11
Mateus,The Lavender Beds,16,50,1,12
Jenova,Shirogane,27,9,1,13
Mateus,The Lavender Beds,16,22,1,12
Mateus,The Lavender Beds,16,23,1,11
Malboro,The Lavender Beds,4,12,1,1
Mateus,The Lavender Beds,9,20,1,12
Mateus,The Lavender Beds,8,45,1,15
Mateus,The Lavender Beds,7,23,1,9
Midgardsormr,Shirogane,24,47,1,8
Goblin,Shirogane,10,35,1,3
Hyperion,Mist,8,19,1,40
Excalibur,Empyreum,19,48,2,44
Excalibur,Empyreum,18,48,2,42
Balmung,The Lavender Beds,23,31,2,121
Zalera,Shirogane,14,20,1,4
Lamia,Empyreum,19,45,1,1
Lamia,Empyreum,8,24,1,1
Gilgamesh,The Goblet,27,6,2,15
Gilgamesh,Mist,2,46,1,0
Gilgamesh,Mist,1,13,1,4
Exodus,The Goblet,26,13,3,65
Malboro,The Goblet,8,45,1,1
Malboro,The Goblet,6,47,1,1
Exodus,Mist,23,7,2,47
Exodus,The Lavender Beds,14,6,3,132
Sargatanas,Shirogane,14,15,2,70
Malboro,The Goblet,3,54,1,0
Brynhildr,The Lavender Beds,5,60,2,33
Coeurl,Mist,30,60,2,76
Coeurl,Mist,16,31,2,45
Coeurl,The Goblet,19,55,2,22
Coeurl,The Goblet,24,36,2,22
Lamia,Shirogane,28,19,2,77
Coeurl,The Lavender Beds,13,35,2,74
Balmung,The Goblet,27,52,1,16
Balmung,The Goblet,23,26,1,14
Balmung,The Goblet,12,50,1,25
Balmung,The Goblet,11,32,1,14
Leviathan,Empyreum,1,45,1,0
Leviathan,The Goblet,30,55,2,36
Balmung,The Goblet,11,23,1,15
Gilgamesh,The Goblet,3,56,1,3
Leviathan,Empyreum,19,29,1,3
Gilgamesh,The Goblet,1,26,1,0
Leviathan,The Goblet,12,11,2,26
Adamantoise,Mist,8,30,2,54
Leviathan,Shirogane,22,13,2,64
Leviathan,Shirogane,14,43,2,59
Midgardsormr,Empyreum,5,59,1,6
Diabolos,The Goblet,12,43,3,82
Leviathan,Empyreum,19,20,1,4
Gilgamesh,The Lavender Beds,7,36,3,148
Balmung,Mist,30,57,1,17
Gilgamesh,Shirogane,27,49,2,53
Malboro,Empyreum,25,54,1,2
Lamia,The Lavender Beds,21,33,3,113
Ultros,Empyreum,19,22,3,179
Malboro,Empyreum,25,49,1,0
Balmung,Mist,27,26,1,27
Balmung,Mist,27,3,1,25
Malboro,Empyreum,25,43,1,1
Malboro,Empyreum,25,36,1,0
Malboro,Empyreum,25,35,1,2
Zalera,The Lavender Beds,5,34,1,2
Malboro,Empyreum,25,34,1,1
Zalera,Mist,29,30,2,70
Zalera,Shirogane,26,15,2,86
Adamantoise,Empyreum,18,32,2,23
Balmung,Mist,23,9,1,24
Balmung,Mist,23,23,1,31
Zalera,Mist,17,7,2,40
Mateus,Shirogane,17,50,1,11
Adamantoise,Mist,14,10,1,4
Faerie,Empyreum,11,18,2,35
Jenova,Shirogane,12,54,2,88
Jenova,The Lavender Beds,22,30,2,100
Mateus,The Goblet,20,55,2,56
Midgardsormr,Empyreum,14,47,2,61
Mateus,The Lavender Beds,15,1,2,77
Brynhildr,The Lavender Beds,27,57,2,79
Mateus,Mist,29,4,2,53
Brynhildr,The Goblet,22,36,2,46
Midgardsormr,Mist,24,37,2,48
Mateus,The Goblet,28,13,3,56
Mateus,Mist,16,44,2,53
Brynhildr,The Goblet,18,13,3,117
Siren,Shirogane,13,54,2,48
Mateus,Mist,7,34,2,55
Midgardsormr,Mist,21,4,2,85
Ultros,Shirogane,28,15,2,60
Siren,Shirogane,7,24,2,50
Adamantoise,The Lavender Beds,18,11,2,117
Mateus,The Goblet,18,5,3,55
Ultros,The Goblet,28,42,2,16
Siren,The Goblet,17,19,2,40
Ultros,The Goblet,24,4,2,15
Cactuar,Empyreum,5,18,2,27
Ultros,The Goblet,20,25,2,17
Diabolos,Mist,1,60,2,27
Ultros,The Goblet,17,8,2,15
Siren,The Goblet,9,55,2,29
Ultros,The Lavender Beds,30,16,2,65
Ultros,The Lavender Beds,24,21,2,28
Goblin,Mist,14,45,3,65
Cactuar,Empyreum,14,29,1,1
Ultros,The Lavender Beds,15,31,2,29
Goblin,Mist,20,35,3,115
Jenova,The Goblet,28,5,3,76
Exodus,Mist,2,29,2,28
Jenova,The Goblet,21,30,3,62
Mateus,The Goblet,23,35,3,46
Midgardsormr,The Lavender Beds,9,27,2,82
Malboro,The Goblet,4,5,3,96
Midgardsormr,The Goblet,17,8,2,40
Cactuar,Empyreum,19,21,2,61
Goblin,The Goblet,21,5,3,43
Siren,The Lavender Beds,19,51,2,76
Hyperion,Shirogane,17,24,2,34
Balmung,The Lavender Beds,21,60,2,141
Hyperion,Shirogane,29,13,2,34
Gilgamesh,Shirogane,21,45,2,35
Siren,Mist,2,29,2,40
Hyperion,Empyreum,12,8,2,27
Siren,Mist,26,36,2,113
Cactuar,The Goblet,27,30,3,166
Sargatanas,Mist,15,49,1,12
Balmung,The Goblet,25,12,2,46
Goblin,The Lavender Beds,16,58,3,75
Hyperion,The Goblet,20,42,2,14
Diabolos,Shirogane,24,15,2,45
Cactuar,The Goblet,18,11,2,27
Cactuar,Mist,20,20,1,23
Hyperion,The Goblet,15,8,2,13
Diabolos,The Lavender Beds,21,35,2,62
Siren,The Goblet,9,38,2,24
Siren,The Goblet,10,53,1,1
Leviathan,Shirogane,5,36,1,0
Cactuar,The Lavender Beds,7,46,2,110
Leviathan,Shirogane,5,37,3,65
Sargatanas,Empyreum,5,18,2,26
Lamia,The Lavender Beds,1,8,1,4
Jenova,The Lavender Beds,28,52,1,12
Cactuar,Mist,14,31,2,56
Diabolos,Mist,7,35,3,161
Jenova,The Lavender Beds,26,43,1,9
Malboro,Mist,9,34,2,56
Jenova,The Lavender Beds,24,9,1,24
Faerie,The Goblet,16,34,2,27
Jenova,The Lavender Beds,22,15,1,13
Diabolos,The Lavender Beds,21,22,1,9
Faerie,The Goblet,22,14,1,5
Faerie,The Goblet,23,40,1,4
Malboro,The Lavender Beds,30,31,2,31
Gilgamesh,The Goblet,27,8,2,21
Gilgamesh,The Goblet,24,45,1,2
Gilgamesh,The Goblet,20,14,1,2
Gilgamesh,The Goblet,8,50,1,2
Malboro,The Lavender Beds,29,60,2,37
Coeurl,Shirogane,12,58,2,97
Malboro,Shirogane,18,54,2,42
Hyperion,The Lavender Beds,16,46,2,88
Faerie,The Lavender Beds,16,6,3,198
Gilgamesh,Mist,7,56,1,4
Excalibur,Mist,22,2,3,88
Malboro,Shirogane,26,1,2,77
Hyperion,Mist,22,4,2,50
Hyperion,The Goblet,12,55,2,15
Faerie,The Lavender Beds,29,51,2,36
Adamantoise,The Goblet,30,11,2,19
Adamantoise,The Goblet,4,6,2,14
Goblin,Shirogane,21,45,2,49
Behemoth,Empyreum,14,22,3,133
Mateus,The Lavender Beds,23,33,3,74
Coeurl,The Lavender Beds,20,36,3,183
Goblin,The Lavender Beds,2,45,1,0
Mateus,Shirogane,1,19,2,69
Mateus,Empyreum,9,39,1,10
Coeurl,The Goblet,21,14,1,14
Cactuar,The Goblet,18,38,2,33
Jenova,The Goblet,19,30,3,80
Faerie,Shirogane,8,54,2,57
Adamantoise,Shirogane,13,45,2,61
Faerie,The Lavender Beds,4,30,2,19
Midgardsormr,The Goblet,10,7,1,5
Balmung,Mist,5,36,2,152
Exodus,Shirogane,19,40,1,1
Exodus,The Lavender Beds,18,59,1,10
Malboro,The Lavender Beds,2,50,1,0
Sargatanas,The Lavender Beds,6,56,1,0
Sargatanas,Mist,28,31,2,57
Ultros,Shirogane,28,27,1,7
Jenova,The Goblet,12,51,1,4
Jenova,Mist,6,31,2,14
Coeurl,Mist,6,27,1,0
Coeurl,Mist,6,23,1,0
Coeurl,Mist,6,11,1,0
Coeurl,Mist,6,8,1,0
